#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2026-02-26T09:20:33 [V7.5.4]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-02-26T09:20:33	  Query execution date
#INFO	request=https://vizier.u-strasbg.fr/viz-bin/asu-tsv?-source=J/ApJ/856/23/members&-out.all=1	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.4	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable
#INFO	MaxTuples=50000	

#RESOURCE=yCat_18560023
#Name: J/ApJ/856/23
#Title: BANYAN. XI. The BANYAN {Sigma} algorithm (Gagne+, 2018)
#INFO	ivoid=ivo://cds.vizier/j/apj/856/23	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/856/23	    IVOID of underlying data collection
#INFO	creator=Gagne J.	    First author or institution
#INFO	cites=bibcode:2018ApJ...856...23G	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2018	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/856/23	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.18560023	    Dataset identifier that can be used for citation
#INFO	publication_date=2021-01-11	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_856_23_members:
#Name: J/ApJ/856/23/members
#Title: Literature compilation of bona fide members (tables 5 and 7)
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Assoc	(a6)	Association short name (G1)	[ucd=meta.id.parent]
#Column	Main	(a27)	Main designation	[ucd=meta.id;meta.main]
#Column	SpT	(a13)	Spectral Type	[ucd=src.spType]
#Column	RAJ2000	(A11)	[0/23]? Hour of Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A11)	? Degree of Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	pmRA	(F7.2)	[-604/435]? Proper motion in RA, pm*cos(dec)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F5.2)	[0.02/20]? Uncertainty on pmRA	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F7.2)	[-729/356]? Proper motion in DE	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F5.2)	[0.01/20]? Uncertainty on pmDE	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	RVel	(F6.2)	[-23.7/45]? Radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	e_RVel	(F5.2)	[0.03/7]? Uncertainty on RVel	[ucd=stat.error;spect.dopplerVeloc]
#Column	Dist	(F6.2)	[7.1/210]? Trigonometric distance	[ucd=pos.distance;pos.heliocentric]
#Column	e_Dist	(F5.2)	[0/30]? Uncertainty on Dist	[ucd=stat.error]
#Column	Comp	(A11)	Companion Flag (G2)	[ucd=meta.code.error]
#Column	r_SpT	(I3)	? Reference for spectral type (see refs.dat file)	[ucd=meta.ref;pos.frame]
#Column	r_pm	(I3)	? Reference for proper motion (see refs.dat file)	[ucd=meta.ref;pos.frame]
#Column	r_RVel	(a10)	Reference(s) for radial velocity (see refs.dat file)	[ucd=meta.ref;pos.frame]
#Column	r_Dist	(I3)	? Reference for trigonometric distance (see refs.dat file)	[ucd=meta.ref;pos.frame]
#Column	2MASS	(A17)	2MASS designation (JHHMMSSss+DDMMSSs)	[ucd=meta.id.cross]
#Column	WISEA	(A19)	ALLWISE designation (JHHMMSS.ss+DDMMSS.s)	[ucd=meta.id.cross]
#Column	Gaia	(I19)	? Gaia-DR1 Source ID (<Gaia DR1 NNNNNNNNNNNNNNNNNNN> in Simbad)	[ucd=meta.id.cross]
#Column	OName	(a42)	Other name(s), separated by ";"	[ucd=meta.id]
#Column	SimbadName	(a26)	Simbad column added by the CDS	[ucd=meta.id]
recno	Assoc	Main	SpT	RAJ2000	DEJ2000	pmRA	e_pmRA	pmDE	e_pmDE	RVel	e_RVel	Dist	e_Dist	Comp	r_SpT	r_pm	r_RVel	r_Dist	2MASS	WISEA	Gaia	OName	SimbadName
     784	TAU   	2MASS J05180285+2327127    	M5           	05 18 02.86	+23 27 12.1	  -9.00	 4.00	 -42.00	 4.00	 14.40	 0.70	      	     	           	177	153	174       	   	J05180285+2327127	J051802.85+232712.3	3415666234992981760	                                          	2MASS J05180285+2327127
     785	TAU   	2MASS J05223346+2439197    	M4.5         	05 22 33.47	+24 39 19.5	  11.00	 4.00	 -31.00	 4.00	 20.40	 0.70	      	     	           	177	153	174       	   	J05223346+2439197	J052233.46+243919.3	3417331582792299776	                                          	2MASS J05223346+2439197
     786	TAU   	2MASS J05230197+2428085    	M4           	05 23 01.97	+24 28 08.3	   9.00	 4.00	 -20.00	 4.00	 20.30	 0.50	      	     	           	177	153	174       	   	J05230197+2428085	J052301.96+242808.3	3417279081111808896	                                          	2MASS J05230197+2428085
     787	TAU   	2MASS J05234996+2435236    	M6           	05 23 49.97	+24 35 23.4	  10.00	 5.00	 -21.00	 5.00	 19.40	 0.70	      	     	           	177	153	174       	   	J05234996+2435236	J052349.96+243523.5	3417304335519678976	                                          	2MASS J05234996+2435236
     788	TAU   	2MASS J05310261+2334020    	M4           	05 31 02.62	+23 34 01.8	   3.00	 5.00	  -8.00	 4.00	 20.60	 0.50	      	     	           	177	139	174       	   	J05310261+2334020	J053102.61+233401.8	3416562165170279424	                                          	2MASS J05310261+2334020
     789	TAU   	2MASS J05320210+2423028    	M5           	05 32 02.11	+24 23 02.6	   0.00	 5.00	 -19.00	 5.00	 20.70	 0.60	      	     	           	177	153	174       	   	J05320210+2423028	J053202.10+242302.6	3416676170784043008	                                          	2MASS J05320210+2423028
     790	TAU   	2MASS J05333627+2102276    	M4.5         	05 33 36.29	+21 02 27.0	  -6.00	 5.00	 -30.00	 4.00	 16.70	 0.50	      	     	           	177	139	174       	   	J05333627+2102276	J053336.28+210227.1	3402879017843089920	                                          	2MASS J05333627+2102276
     791	TAU   	2MASS J05344797+2243139    	M4.25        	05 34 47.98	+22 43 13.6	  -2.00	 4.00	 -26.00	 4.00	 20.60	 0.50	      	     	           	177	153	174       	   	J05344797+2243139	J053447.97+224313.6	3404440083835128704	                                          	2MASS J05344797+2243139
     792	TAU   	2MASS J05361898+2242426    	M4.75        	05 36 18.99	+22 42 42.2	   5.00	 4.00	 -48.00	 4.00	 15.50	 0.50	      	     	           	177	153	174       	   	J05361898+2242426	J053618.98+224242.2	3404243924087990656	                                          	2MASS J05361898+2242426
     793	PL8   	HD 76230                   	A0V          	08 52 40.79	-52 07 43.9	 -15.94	 0.04	  14.23	 0.04	 18.00	 1.00	126.00	 6.00	           	157	  5	 20       	  5	J08524087-5207440	J085240.91-520743.8	5324415053561705216	HIP 43593                                 	HD 76230
     794	PL8   	H Vel                      	B5.5:IV      	08 56 19.26	-52 43 24.5	 -15.60	 0.30	  14.80	 0.30	 22.20	 0.90	108.00	 4.00	           	157	 16	 80       	 16	J08561925-5243245	J085619.26-524324.1	                   	HIP 43878                                 	H Vel
     795	PL8   	CD-58 2381                 	             	08 59 36.40	-59 02 25.3	 -16.16	 0.07	  18.08	 0.07	      	     	124.00	 4.00	           	   	  5	          	  5	J08593642-5902255	J085936.40-590225.3	5303126790456718336	HIP 44158                                 	CD-58 2381
     796	PL8   	OY Vel                     	A            	09 01 44.56	-52 11 19.3	 -13.30	 0.50	  13.50	 0.50	 26.00	 3.00	113.00	 5.00	           	157	 16	 20       	 16	J09014458-5211194	J090144.56-521119.2	                   	HIP 44337                                 	OY Vel
     797	PL8   	HD 78027                   	A1V          	09 03 23.08	-57 45 58.9	 -14.74	 0.05	  14.45	 0.05	      	     	133.00	 4.00	           	 24	  5	          	  5	J09032311-5745590	J090323.04-574559.3	5303854289203215616	HIP 44453                                 	HD 78027
     798	PL8   	HD 78761                   	A2V          	09 07 24.00	-59 08 59.0	 -15.62	 0.04	  15.02	 0.04	      	     	134.00	 5.00	           	 24	  5	          	  5	J09072401-5908591	J090724.00-590858.9	5300164843570236160	HIP 44764                                 	HD 78761
     799	PL8   	HD 78802                   	A2IV         	09 07 39.91	-59 11 04.8	 -15.48	 0.03	  15.20	 0.03	      	     	133.00	 6.00	           	 24	  5	          	  5	J09073992-5911050	J090739.91-591104.8	5300164499972854016	HIP 44787                                 	HD 78802
     800	PL8   	CD-59 2253                 	             	09 08 35.13	-60 19 58.7	 -16.00	 0.07	  15.70	 0.07	      	     	138.00	 5.00	           	   	  5	          	  5	J09083515-6019589	J090835.13-601958.8	5300034551443286144	HIP 44872                                 	CD-59 2253
     801	PL8   	a Car                      	B2IV-V       	09 10 58.09	-58 58 00.8	 -16.60	 0.30	  15.00	 0.30	 23.30	 0.90	137.00	 7.00	           	   	 16	 69       	 16	J09105810-5858008	J091058.11-585800.6	                   	HIP 45080                                 	a Car
     802	PL8   	HD 79387                   	B9V          	09 11 37.85	-54 02 13.3	 -16.90	 0.30	  13.20	 0.30	      	     	152.00	 8.00	           	 24	 16	          	 16	J09113784-5402132	J091137.83-540213.1	                   	HIP 45125                                 	HD 79387
     803	PL8   	HD 80628                   	A0.5:V       	09 18 21.45	-59 38 46.5	 -17.11	 0.03	  14.19	 0.03	      	     	134.00	 6.00	           	 24	  5	          	  5	J09182148-5938466	J091821.44-593846.5	5300232051219146368	HIP 45654                                 	HD 80628
     804	UCL   	CD-40 8031                 	K1IV         	13 37 57.24	-41 34 42.3	 -37.00	 2.00	 -25.60	 0.90	  8.40	 0.60	 99.00	 4.00	           	179	  5	171       	  5	J13375730-4134419	J133757.25-413442.1	6112762829087987712	MML 36                                    	CD-40 8031
     805	UCL   	CD-48 8486                 	G6V          	13 47 50.52	-49 02 05.8	 -20.00	 3.00	 -15.10	 0.90	 11.00	 5.00	139.00	 7.00	           	179	  5	 30       	  5	J13475054-4902056	J134750.52-490205.7	6094529696485204864	MML 38                                    	CD-48 8486
     806	UCL   	nu. Cen                    	B2IV         	13 49 30.28	-41 41 15.7	 -26.77	 0.08	 -20.20	 0.10	  9.00	 0.90	134.00	 3.00	           	157	 16	 80       	 16	J13493028-4141156	J134930.25-414116.0	6112195519743999744	                                          	nu. Cen
     807	UCL   	mu. Cen                    	B2V          	13 49 37.00	-42 28 25.5	 -24.25	 0.08	 -18.60	 0.10	  9.00	 3.00	155.00	 4.00	           	182	 16	 20       	 16	J13493700-4228255	J134936.99-422825.6	                   	                                          	mu. Cen
     808	UCL   	CD-47 8710                 	K2Ve         	13 54 42.05	-48 20 58.2	 -36.00	 3.00	 -25.00	 1.00	  8.00	 5.00	105.00	 8.00	           	 30	  5	 30       	  5	J13544209-4820578	J135442.06-482058.0	6093930222130600576	TYC 8267-2879-1                           	CD-47 8710
     809	UCL   	HR 5230                    	B9V          	13 55 12.14	-52 09 39.1	 -29.30	 0.20	 -21.60	 0.20	 17.00	 5.00	108.00	 3.00	           	157	 16	 20       	 16	J13551214-5209390	J135512.11-520939.0	                   	                                          	HR 5230
     810	UCL   	CCDM J13563-5408AB         	A1V          	13 56 19.97	-54 07 56.3	 -27.30	 0.60	 -19.50	 0.60	 13.00	 2.00	140.00	10.00	           	 24	 16	 20       	 16	J13561996-5407562	J135619.94-540756.2	6064911571962617216	                                          	CCDM J13563-5408AB
     811	UCL   	phi Cen                    	B2IV         	13 58 16.29	-42 06 02.6	 -22.80	 0.10	 -20.10	 0.20	  5.00	 2.00	161.00	 4.00	           	178	 16	 20       	 16	J13581629-4206026	J135816.22-420602.6	                   	                                          	phi Cen
     812	UCL   	ups01 Cen                  	B2IV-V       	13 58 40.75	-44 48 13.0	 -27.50	 0.10	 -22.40	 0.20	  5.00	 2.00	131.00	 3.00	           	178	 16	 69       	 16	J13584075-4448130	J135840.71-444813.1	                   	                                          	ups01 Cen
     813	UCL   	CD-41 8400                 	G9IV         	14 02 20.69	-41 44 51.1	 -26.00	 2.00	 -20.60	 0.80	  8.30	 0.60	140.00	10.00	           	179	  5	171       	  5	J14022072-4144509	J140220.70-414451.0	6110461516891317760	MML 40                                    	CD-41 8400
     814	UCL   	TYC 7807-677-1             	K3Ve         	14 06 00.39	-41 12 25.2	 -23.00	 1.00	 -20.50	 0.30	  7.00	 5.00	141.00	 5.00	           	 30	  5	 30       	  5	J14060042-4112249	J140600.39-411225.1	6110115067652803712	TYC 7807-677-1                            	TYC 7807-677-1
     815	UCL   	chi Cen                    	B2V          	14 06 02.76	-41 10 46.7	 -22.90	 0.20	 -21.70	 0.20	 12.00	 2.00	157.00	 5.00	           	216	 16	 80       	 16	J14060276-4110466	J140602.74-411046.9	                   	                                          	chi Cen
     816	UCL   	HD 123445                  	B9V          	14 08 51.89	-43 28 14.8	 -19.80	 0.30	 -17.20	 0.50	  2.00	 3.00	160.00	10.00	           	157	 16	 34       	 16	J14085188-4328147	J140851.91-432814.8	6097682717879917312	                                          	HD 123445
     817	UCL   	HD 124367                  	B4Vne        	14 14 57.14	-57 05 10.1	 -23.80	 0.20	 -20.90	 0.20	  7.00	 7.00	148.00	 5.00	           	178	 16	 34       	 16	J14145714-5705101	J141457.19-570510.1	5892241066169497216	                                          	HD 124367
     818	UCL   	TYC 8281-1497-1            	K5Ve         	14 20 48.90	-47 48 44.6	 -20.00	 5.00	 -23.00	 2.00	  7.00	 5.00	100.00	10.00	           	 30	  5	 30       	  5	J14204893-4748442	J142048.91-474844.4	6092826862216166272	TYC 8281-1497-1                           	TYC 8281-1497-1
     819	UCL   	TYC 8277-192-1             	K2V(e)       	14 21 43.75	-46 52 08.7	 -25.00	 2.00	 -22.80	 0.60	  8.00	 5.00	127.00	 4.00	           	 30	  5	 30       	  5	J14214378-4652082	J142143.76-465208.5	6092937603647849728	TYC 8277-192-1                            	TYC 8277-192-1
     820	UCL   	a Cen                      	B2V          	14 23 02.24	-39 30 42.6	 -24.10	 0.10	 -21.90	 0.10	  7.90	 0.90	140.00	 3.00	           	124	 16	 69       	 16	J14230223-3930425	J142302.22-393042.6	                   	                                          	a Cen
     821	UCL   	HD 125912                  	F7V          	14 23 37.88	-43 57 42.7	 -29.40	 0.70	 -29.20	 0.80	  7.40	 0.50	120.00	10.00	           	157	 16	 20       	 16	J14233787-4357426	J142337.85-435743.0	6102478409641717248	                                          	HD 125912
     822	UCL   	HD 126135                  	B8V          	14 24 43.91	-40 45 18.6	 -21.50	 0.40	 -20.60	 0.50	 12.00	 6.00	170.00	20.00	           	157	 16	 34       	 16	J14244390-4045185	J142443.89-404518.8	                   	                                          	HD 126135
     823	UCL   	TYC 8289-1388-1            	K1V          	14 24 47.76	-50 41 33.8	 -20.00	 1.00	 -22.20	 0.30	 12.00	 5.00	148.00	 5.00	           	 30	  5	 30       	  5	J14244779-5041333	J142447.77-504133.5	5899085045016067712	TYC 8289-1388-1                           	TYC 8289-1388-1
     824	UCL   	HR 5400                    	B9V          	14 26 49.88	-39 52 26.4	 -20.71	 0.03	 -21.16	 0.02	  7.00	 3.00	147.00	 9.00	           	124	  5	 20       	 16	J14264988-3952264	J142649.85-395226.5	6104499380730513280	                                          	HR 5400
     825	UCL   	CD-46 9327                 	G6V          	14 27 05.51	-47 14 22.1	 -28.00	 2.00	 -24.40	 0.60	  9.10	 0.60	124.00	 4.00	           	179	  5	171       	  5	J14270556-4714217	J142705.53-471421.9	6092201446252575872	MML 43                                    	CD-46 9327
     826	UCL   	HD 126670                  	G5V          	14 28 09.26	-44 14 17.9	 -25.00	 2.00	 -25.10	 0.60	  7.30	 0.60	119.00	 3.00	           	179	  5	171       	  5	J14280929-4414175	J142809.27-441417.7	6099511995990475904	MML 44                                    	HD 126670
     827	UCL   	CD-41 8792                 	G2V          	14 28 19.34	-42 19 34.4	 -21.00	 2.00	 -21.60	 0.70	  7.00	 5.00	145.00	 5.00	           	179	  5	 30       	  5	J14281937-4219341	J142819.35-421934.3	6103240199397998592	MML 45                                    	CD-41 8792
     828	UCL   	V853 Cen                   	A6V          	14 29 58.36	-56 07 52.5	 -21.46	 0.03	 -19.54	 0.03	  1.10	 0.70	144.00	 7.00	           	 24	  5	 20       	  5	J14295836-5607524	J142958.33-560752.5	5892612701102990336	                                          	V853 Cen
     829	UCL   	HR 5449                    	B8V          	14 36 44.13	-40 12 41.6	 -22.50	 0.30	 -22.30	 0.30	  2.00	 4.00	148.00	 9.00	           	124	 16	 20       	 16	J14364413-4012416	J143644.11-401241.8	                   	                                          	HR 5449
     830	UCL   	CD-54 5780                 	G9IV         	14 37 50.18	-54 57 41.6	 -24.00	 2.00	 -26.10	 0.40	 10.60	 0.60	113.00	 3.00	           	179	  5	171       	  5	J14375022-5457411	J143750.19-545741.4	5894194314216491648	MML 47                                    	CD-54 5780
     831	UCL   	rho Lup                    	B3.5V        	14 37 53.23	-49 25 32.6	 -28.30	 0.10	 -28.80	 0.10	  8.00	 7.00	 97.00	 2.00	           	157	 16	 34       	 16	J14375322-4925326	J143753.19-492533.2	                   	                                          	rho Lup
     832	UCL   	CD-42 9515                 	K3Ve         	14 38 54.37	-43 10 22.6	 -20.00	 3.00	 -19.00	 1.00	  1.00	 5.00	 86.00	 4.00	           	 30	  5	 30       	  5	J14385440-4310223	J143854.38-431022.4	6099803504007282176	TYC 7818-189-1                            	CD-42 9515
     833	UCL   	HD 128819                  	B8.5V        	14 40 17.64	-40 50 30.0	 -18.70	 0.50	 -22.50	 0.60	  2.00	 1.00	160.00	10.00	           	157	 16	 20       	 16	J14401764-4050299	J144017.62-405030.4	6104772162696862720	                                          	HD 128819
     834	UCL   	TYC 8287-413-1             	K4Ve         	14 41 19.39	-50 01 20.3	 -30.00	 1.00	 -27.30	 0.40	 -3.00	 5.00	114.00	 3.00	           	 30	  5	 30       	  5	J14411942-5001199	J144119.40-500120.1	5904572054715243264	TYC 8287-413-1                            	TYC 8287-413-1
     835	UCL   	alf Lup                    	B1.5III      	14 41 55.77	-47 23 17.4	 -20.90	 0.10	 -23.70	 0.10	  5.40	 0.70	143.00	 3.00	           	178	 16	 20       	 16	J14415577-4723174	J144155.75-472317.5	                   	                                          	alf Lup
     836	UCL   	b Cen                      	B3V          	14 41 57.59	-37 47 36.7	 -29.90	 0.10	 -30.70	 0.10	  3.00	 2.00	104.00	 2.00	           	178	 16	 20       	 16	J14415758-3747366	J144157.56-374736.8	                   	                                          	b Cen
     837	UCL   	CD-34 9963                 	K1IV         	14 50 25.79	-35 06 48.9	 -16.00	 3.00	 -21.00	 1.00	  3.00	 5.00	150.00	20.00	           	179	  5	 30       	  5	J14502581-3506486	J145025.80-350648.7	6203184638132037248	MML 50                                    	CD-34 9963
     838	UCL   	omi Lup                    	B5IV         	14 51 38.29	-43 34 31.5	 -25.20	 0.50	 -27.10	 0.80	  7.30	 0.70	124.00	 9.00	           	178	 16	 34       	 16	J14513829-4334315	J145138.28-433431.4	                   	                                          	omi Lup
     839	UCL   	CD-41 9236                 	K3IV         	14 52 41.96	-41 41 55.5	 -19.00	 2.00	 -19.80	 0.90	  5.50	 0.80	141.00	 5.00	           	179	  5	 12,30    	  5	J14524198-4141552	J145241.96-414155.4	6101033170325458560	MML 51                                    	CD-41 9236
     840	UCL   	HR 5543                    	B7III        	14 52 51.08	-37 48 11.4	 -20.50	 0.20	 -19.20	 0.20	  6.00	 2.00	151.00	 5.00	           	178	 16	 69       	 16	J14525108-3748113	J145251.07-374811.5	                   	                                          	HR 5543
     841	UCL   	CD-50 8911                 	G7V          	14 55 26.69	-51 29 01.5	 -22.00	 1.00	 -21.20	 0.70	 10.00	 5.00	126.00	 5.00	           	 30	  5	 30       	  5	J14552673-5129013	J145526.70-512901.4	5901055266773816576	TYC 8292-2095-1                           	CD-50 8911
     842	UCL   	HD 131777                  	A1V          	14 56 55.78	-42 27 40.4	 -15.60	 0.05	 -21.20	 0.03	 -1.00	 2.00	150.00	10.00	           	157	  5	 20       	 16	J14565577-4227403	J145655.74-422740.8	6100833952564929664	                                          	HD 131777
     843	UCL   	kap Cen                    	B2IV         	14 59 09.70	-42 06 15.2	 -17.60	 0.50	 -22.50	 0.70	  8.00	 0.90	118.00	 8.00	           	157	 16	 69       	 16	J14590969-4206151	J145909.67-420615.1	                   	                                          	kap Cen
     844	UCL   	HR 5579                    	B7V          	14 59 13.94	-37 52 52.4	 -18.90	 0.30	 -19.50	 0.40	 15.00	 7.00	160.00	10.00	           	217	 16	 34       	 16	J14591393-3752524	J145913.90-375252.6	                   	                                          	HR 5579
     845	UCL   	HD 132264                  	G7V          	14 59 22.73	-40 13 12.5	 -25.00	 2.00	 -29.00	 1.00	  4.00	 5.00	107.00	 9.00	           	179	  5	 30       	  5	J14592275-4013120	J145922.73-401312.3	6197282219197729664	MML 54                                    	HD 132264
     846	UCL   	2MASS J15005189-4331212    	K1IV         	15 00 51.87	-43 31 21.5	 -14.00	 3.00	 -23.70	 0.60	 10.10	 0.60	150.00	20.00	           	179	  5	171       	  5	J15005189-4331212	J150051.87-433121.3	5908389078054392320	MML 55                                    	2MASS J15005189-4331212
     847	UCL   	HR 5587                    	A8.5III-IV   	15 01 58.08	-34 21 31.7	 -27.10	 0.30	 -24.70	 0.40	 -3.00	 2.00	128.00	 6.00	           	124	 16	 20       	 16	J15015808-3421317	J150158.06-342132.1	                   	                                          	HR 5587
     848	UCL   	CCDM J15051-4703AB         	B5IV         	15 05 07.16	-47 03 04.1	 -23.00	 0.50	 -22.80	 0.70	  5.00	 4.00	140.00	10.00	           	178	 16	 34       	 16	J15050716-4703041	J150507.14-470304.1	                   	                                          	CCDM J15051-4703AB
     849	UCL   	HZ Lup                     	A            	15 06 33.19	-30 55 06.5	 -23.90	 0.50	 -27.80	 0.60	  3.00	 5.00	121.00	 8.00	           	124	 16	 20       	 16	J15063319-3055065	J150633.18-305506.7	                   	                                          	HZ Lup
     850	UCL   	CD-34 10180                	K1IV         	15 07 14.78	-35 05 00.0	 -30.00	 2.00	 -30.80	 0.90	  3.70	 0.60	108.00	 4.00	           	179	  5	171       	  5	J15071481-3504595	J150714.79-350459.7	6200792375707775488	MML 58                                    	CD-34 10180
